Image,Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
blue-graphic-tshirt,Stucki,Softmax (α=0.5),CIEXYY,19.0157749717,0.785767554386,6.92611384407,6.75216857828,0.0940108895302,0.0662333965302
blue-graphic-tshirt,Stucki,Error-scaled (scale),RGB,19.4313335572,0.785101588913,6.97717205103,6.15990704647,0.104055948555,0.0536540150642
blue-graphic-tshirt,Stucki,Error-scaled (scale),CIELAB,18.8277563926,0.732110781086,7.02401272536,6.12610087495,0.140707865357,0.0408343672752
blue-graphic-tshirt,Stucki,Error-scaled (scale),CIEXYY,17.6989687556,0.688298623172,8.179610718,4.66927525317,0.409939527512,0.108805716038
blue-graphic-tshirt,Stucki,Error-scaled (weighted_target),RGB,13.559570076,0.0920311309146,13.1186015359,14.7302957908,0.975905179977,0.0537992715836
blue-graphic-tshirt,Stucki,Error-scaled (weighted_target),CIELAB,12.2212010697,0.0850164865055,13.1055007563,15.5884655818,1.02053964138,0.0460531115532
blue-graphic-tshirt,Stucki,Error-scaled (weighted_target),CIEXYY,12.8233736182,0.130669274425,16.3995058195,18.0049156582,0.942122161388,0.212074935436
blue-graphic-tshirt,Stucki,Error-scaled (confidence),RGB,17.7829370677,0.69820647937,8.04444775826,4.33851375888,0.379906058311,0.0611118078232
blue-graphic-tshirt,Stucki,Error-scaled (confidence),CIELAB,16.1394666334,0.683777842052,8.30048658459,6.65975576066,0.413804590702,0.0659670829773
blue-graphic-tshirt,Stucki,Error-scaled (confidence),CIEXYY,16.5605678784,0.678073376704,9.24048796985,7.2351743504,0.419137358665,0.107761025429
curls,Floyd-Steinberg,Nearest-colour,RGB,11.0617421309,0.406451461963,22.462624153,11.8389439856,0.686674177647,0.0100762844086
curls,Floyd-Steinberg,Nearest-colour,CIELAB,11.1576226231,0.317550039573,18.7827009029,7.19700269027,0.796841442585,0.035799741745
curls,Floyd-Steinberg,Nearest-colour,CIEXYY,11.1052905266,0.23094851211,18.4563949687,13.7708986404,0.848417282104,0.196998178959
curls,Floyd-Steinberg,Weight-driven,RGB,13.7584007802,0.520564390897,15.363449051,11.7325674891,0.380934327841,0.170279562473
curls,Floyd-Steinberg,Weight-driven,CIELAB,13.7584007802,0.520564390897,15.363449051,11.7325674891,0.380934327841,0.170008540154
curls,Floyd-Steinberg,Weight-driven,CIEXYY,13.7584024851,0.520565393263,15.3634498113,11.7325671042,0.380934327841,0.169977843761
curls,Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,13.5802378883,0.519337272048,15.8697107213,11.8854267544,0.3887976408,0.157780230045
curls,Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,13.6673775385,0.521037722605,15.4629439737,11.3423536981,0.387437015772,0.165653824806
curls,Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,13.7367656658,0.522704651685,15.2485522173,11.4050418673,0.37797921896,0.170094013214
